"1. Company name (For example, UPMC, Penn State Health, CVS, Sadler Health Center, etc.)","2. Name of vaccine providing entity (For example, UPMC Williamsport, Penn State Health Holy Spirit Medical Center, CVS Pharmacy Camp Hill, Sadler Health Center, etc.)",4. Provider Address,5. Point of contact for vaccine providing entity,6. Phone number for point of contact,POCemail,8. Type of Facility,"9. Link to public facing information, if applicable, on how to schedule an appointment to get vaccinated",Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,Starting time,Ending time,What identification requirements does your facility have for vaccine recipients?,Notes,VaccineYesNoExp,x,y
Encompass Health,Encompass Health Rehabilitation Hospital of Harmarville,"P.O. Box 11460, Guys Run Road, Pittsburgh, PA  15239",Jacqueline Moran or Audrey Lalli,412-828-1300,jacqueline.moran@encompasshealth.com,Hospital,,,,9:00 PM,2:00 PM,9:00 AM,2:00 PM,9:00 AM,2:00 PM,9:00 AM,2:00 PM,9:00 AM,2:00 PM,,,We will be following 2021-PAHAN 545-01-06-ADV.  A photo ID will be required at the pre-scheduled appointment.,We will be following 2021-PAHAN 545-01-06-ADV,No Vaccine Yet,-79.87226284,40.55059863
"Delaware Valley Community Health, Inc.",Maria de los Santos Health Center,"401 W. Allegheny Ave Philadelphia, PA 19133",Zoe Laureano,267-758-5300,covid19@dvch.org,Federally Qualified Health Center (FQHC),https://www.dvch.org,,,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,,,None,Hours may change subject to availability of vaccine for immunization which is dependent on the frequency with which our organization receives vaccine,Yes,-75.13688709,39.99978359
"Delaware Valley Community Health, Inc",Fairmount Primary Care Center,"1412 Fairmount Ave Philadelphia, PA 19130",Lilybeth Garcia,267-758-5300,covid19@dvch.org,Federally Qualified Health Center (FQHC),https://www.dvch.org,,,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,,,none,Hours subjects to changed based on vaccine availability which is dependent on distribution of vaccine stock to our organization,Yes,-75.161413,39.96682001
Primary Health Network ,Buhl Farm Community Health Center ,220 North Buhl Farm Drive Hermitage PA 16148,Ashlee Montgomery ,724-699-9211,amontgomery@primary-health.net,Federally Qualified Health Center (FQHC),https://primary-health.net/covid-vaccine-clinic.aspx,,,9:00 AM,5:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,none,,No Vaccine Yet,-80.46984302,41.23662599
Meadville Medical Center,Meadville Medical Center,,Chelsey Walker,,covidvaccine@mmchs.org,Hospital,https://www.mmchs.org/vaccine,,,,,,,,,,,,,,,,,Yes,-80.14576,41.64148998
Marcus Hook Pharmacy,Marcus Hook Pharmacy,"46 E 10th Street, Marcus Hook PA 19061",Mark Lawson,6104857750,marcushookpharmacy@gmail.com,Pharmacy,,,,,,,,,,,,,,,,For health care providers = Health Care Provider License and drivers license,"We will vaccinate Health Care Providers during normal business hours with appointment.  For non- health care providers, during phase 2, we will have vaccine clinics when the pharmacy is close - Saturday afternoon and Sundays",No Vaccine Yet,-75.41615303,39.82069301
Meadville Medical Center,Yolanda G. Barco Oncology Institute,,Chelsey Walker,,covidvaccine@mmchs.org,Other,https://www.mmchs.org/vaccine,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.20113483,41.62320603
Meadville Medical Center,Meadville Medical Center,,Chelsey Walker,,covidvaccine@mmchs.org,Hospital,https://www.mmchs.org/vaccine,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.14638001,41.63342001
Meadville Medical Center,French Creek Internal Medicine,,Gabrielle Pierce,,covidvaccine@mmchs.org,Other,https://www.mmchs.org/vaccine,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.14662482,41.64089563
Allegheny Health Network,AHN Allegheny General Hospital,,covidvaccine@ahn.org ,,covidvaccine@ahn.org ,Hospital,https://www.ahn.org/coronavirus/independent-health-care-workers.html,,,,,,,,,,,,,,,"Proof of occupation (i.e. badge, professional license, place of employment)",Schedule will be adjusted and coordinated to adjust and flex to request,Yes,-80.00369404,40.45706101
Meadville Medical Center,French Creek Internal Medicine - Conneaut Lake,,Gabrielle Pierce,,covidvaccine@mmchs.org,Other,https://www.mmchs.org/vaccine,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.29154102,41.60395858
Keystone Rural Health Center,Keystone Rural Health Center,"111 Chambers Hill Drive, Suite 200 Chambersburg, PA 17201",Monica Diehl,,covidvaccine@keystonehealth.org,Federally Qualified Health Center (FQHC),,,,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,,,Yes,-77.64109797,39.94422701
Kennie's Pharmacy,Kennie's Pharmacy,440 N Main St,Dianne Steimling,7172259382,sgroverx@kenniesmarket.com,Pharmacy,,,,,,,,,,,,,,,,,,No Vaccine Yet,-76.86339025,39.88500591
Meadville Medical Center,Cochranton Family Practice,,Gabrielle Pierce,,covidvaccine@mmchs.org,Other,https://www.mmchs.org/vaccine,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.05364004,41.52708999
"Keystone Rural Health Consortia, Inc",Cameron County Health Center,90 East 2nd Street,Kristie Bennardi,18144861115,kriben@keystoneruralhealth.com,Federally Qualified Health Center (FQHC),www.keystoneruralhealth.com,,,12:00 PM,4:00 PM,12:00 PM,4:00 PM,12:00 PM,4:00 PM,12:00 PM,4:00 PM,12:00 PM,4:00 PM,,,ID badge,,Yes,-78.23560004,41.51041998
Meadville Medical Center,Meadville Workplace Health,,Gabrielle Pierce,,covidvaccine@mmchs.org,Other,https://www.mmchs.org/vaccine,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.20019055,41.62183585
DuBois Drug and Wellness,DuBois Drug and Wellness,"700 S Brady Street DuBois, PA 15801",Pharmacy,8143715827,,Pharmacy,https://www.duboisdrug.com,,,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,9:00 AM,3:00 PM,,,Proof of Healhcare Employee Status,,No Vaccine Yet,-78.77138998,41.10937898
"Keystone Rural Health Consortia, Inc.",Mountaintop Area Medical Center,"402 East Sycamore Street, Snow Shoe, PA. 16874",Kristie Bennardi,814-245-2119,kriben@keystoneruralhealth.com,Federally Qualified Health Center (FQHC),www.keystoneruralhealth.com,,,12:00 PM,4:00 PM,12:00 PM,4:00 PM,12:00 PM,4:00 PM,12:00 PM,4:00 PM,10:00 AM,2:00 PM,,,ID Badge or license,,No Vaccine Yet,-77.95085992,41.02663503
Tower Health,Jennersville Hospital,"1015 W Baltimore Pike,  West Grove PA 19390",Christine Fletcher RN,6108696512,christine.fletcher@towerhealth.org,Hospital,,,,,,9:00 AM,3:00 PM,,,9:00 AM,3:00 PM,,,,,Drivers License,,Yes,-75.88680913,39.82192092
Sto-Rox Neighborhood Health Council,Sto-Rox Family Health Center ,710 Thompson Avenue,Terri Clark,4127716462,vaccine@storoxfqhc.org,Federally Qualified Health Center (FQHC),,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.06288804,40.46500098
Sto-Rox Neighborhood Health Council,Hilltop Community Health Center,"151 Ruth Street, Pittsburgh, PA 15211",Terri Clark ,4124313520,vaccine@storoxfqhc.org,Federally Qualified Health Center (FQHC),,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.00485604,40.42212612
Birdsboro Pharmacy,Birdsboro Pharmacy,"200 W 1st St, Birdsboro, PA 19508",Martin Kendra,610-582-4005,mkendra@birdsbororx.com,Pharmacy,birdsboropharmacy.youcanbook.me,9:00 AM,12:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,2:00 PM,State Issued ID,,No Vaccine Yet,-75.80889325,40.26266
Allegheny Health Network,West Penn Hospital,"4800 Friendship Avenue, Pittsburgh, PA 15224",covidvaccine@ahn.org,,covidvaccine@ahn.org,Hospital,https://www.ahn.org/coronavirus/independent-health-care-workers.html ,,,,,,,,,,,,,,,"Proof of occupation (i.e. badge, professional license, place of employment)",Schedule will be adjusted and coordinated to adjust and flex to requests.,Yes,-79.94625998,40.46212402
Encompass Health,Encompass Health Rehabilitation Hospital of Erie,"143 East 2nd Street, Erie PA, 16507",Brenda Overholts,8148781369,,Hospital,,,,,,,,,,,,,,,,Plesae bring driver's license or other valid ID and company ID if applicable.,"Temperature check and overall health screen done. If you have had COVID, please wait 90 days to receive the vaccine.",Yes,-80.08448301,42.13395902
The Guthrie Clinic,Robert Packer Hospital,"1 Guthrie Square, Sayre PA 18840",Central Scheduling,5708877150,,Hospital,,,,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,,,Picture ID,,Yes,-76.52008296,41.98037401
Lancaster Rehabilitation Hospital,Lancaster Rehabilitation Hospital,"675 Good Drive; Lancaster, PA 17601",Jenny Haines,,jhaines@lancaster-rehab.com,Hospital,,,,,,,,,,,,,,,,State issued ID and proof of healthcare or first responder employment.,Hours varied based upon availability.,No Vaccine Yet,-76.34964854,40.06389497
Compliance Navigation Specialists DBA CNS Occupational Medicine ,CNS Occupational Medicine,"38 Copperfield Circle, Lititz, PA 17543",John Irwin,8005519816,covid@cnsprotects.com,Other,https://www.cnsprotects.com/occupational-medicine/covid-19-vaccine/,,,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,,,Picture ID (Drivers License),,No Vaccine Yet,-76.30751896,40.17420207
Lower Bucks Hospital,Lower Bucks Hospital,"501 Bath Road, Bristol, PA 19007",Lily Lai,2157859419,lbh-covid19@primehealthcare.com,Hospital,https://www.lowerbuckshosp.com/patients-visitors/covid-19-patient-visitor-information/,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,Photo ID and proof of occupation/employment (i.e. paystub),No walk in appointments available.  Vaccinating hours may vary Monday through Friday.,Yes,-74.866857,40.10347298
"Delaware Valley Community Health, Inc.",Fairmount Primary Care at Girard Medical Center - ,"801 W Girard Ave Philadelphia, PA 19122",Michael Mateo,2677585300,COVID19@dvch.org,Federally Qualified Health Center (FQHC),https://www.dvch.org,,,9:00 AM,1:00 PM,,,9:00 AM,1:00 PM,,,9:00 AM,1:00 PM,,,none,"Our address and the location to our site can be confusing - use 850 W. Thompson Street Philadelphia, PA in your GPS to find out health center entrance; hours subject to change based on vaccine availability",No Vaccine Yet,-75.15022279,39.97198524
Allegheny Health Network,Grove City Hospital,631 N Broad Street Ext,Sarah Kauffman,,covidvaccine@ahn.org,Hospital,https://www.ahn.org/coronavirus/independent-health-care-workers.html ,,,,,,,,,,,,,,,"Proof of occupation (i.e. badge, professional license, place of employment)",Schedule will be adjusted and coordinated to adjust and flex to requests.,Yes,-80.08515817,41.17108716
Allegheny Health Network ,Forbes Hospital,"2570 Haymaker Road.  Monroeville, PA 15146",covidvaccine@ahn.org,,covidvaccine@ahn.org,Health System,https://www.ahn.org/coronavirus/independent-health-care-workers.html ,,,,,,,,,,,,,,,"Proof of occupation (i.e. badge, professional license, place of employment)",Schedule will be adjusted and coordinated to flex to requests,Yes,-79.74858543,40.42881536
Jefferson Health Bucks County Hospital,Jefferson Health Bucks County Hospital,380 Oxford Valley Road Langhorne PA 19047,Matthew O'Donnel,2156125408,NE_CC_Covid19@jefferson.edu,Hospital,https://www.jeffersonhealth.org/coronavirus-covid-19.html?utm_source=cv19banner,,,,,12:00 PM,,,,12:00 PM,,,,,,PA drivers license,,Yes,-74.86985589,40.1849766
WellSpan Health,WellSpan Waynesboro Hospital,501 East Main Street,WellSpan Coronavirus Information Hotline,1-855-851-3641,COVID19Vaccine@Wellspan.org,Hospital,https://www.wellspan.org/covid19,,,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,,,employee or state issued photo ID,None,Yes,-77.56873,39.75159
St. Luke's University Health Network,St. Luke's University Hospital Bethlehem,"801 Ostrum Street, Bethlehem PA 18015",St. Luke's Info Link,"866STLUKES, option 7",infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.39350899,40.60954401
St. Luke's University Health Network,St. Luke's Allentown Campus,"1736 Hamilton Street, Allentown, PA 18104",St. Luke's InfoLink,866STLUKES option 7,infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.49343843,40.59619296
WellSpan Health,WellSpan York Hospital,1001 S . George St. York PA 17405,WellSpan Coronavirus Information Hotline,855-851-3641,COVID19Vaccine@Wellspan.org,Hospital,https://www.wellspan.org/covid19,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,employee or state issued photo ID,,Yes,-76.72033834,39.94652114
Jefferson Health,Lansdale Hospital,"100 Medical Campus Drive, Lansdale, PA 19446",Katie Farrell,,covid.vaccine@jefferson.edu,Hospital,https://jefferson.co1.qualtrics.com/jfe/form/SV_eaFnRURFGL4npsx?utm_source=cv19banner,,,,,,,,,,,8:00 AM,3:00 PM,,,"Driver's license (or other government issued picture ID), work related identification as evidence of healthcare worker role",,No Vaccine Yet,-75.27089197,40.25065199
Wellspan Health,Wellspan Ephrata Community Hospital,"169 Martin Avenue.  Ephrata, PA 17522",Wellspan Coronavirus Information Hotline,855-851-3641,COVID19Vaccine@Wellspan.org,Hospital,https://www.wellspan.org/covid19,,,6:00 AM,9:00 AM,,,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,6:00 AM,9:00 PM,employee or state issued photo ID,,Yes,-76.18184,40.18712
Wellspan Health,Wellspan Gettysburg Hospital,"147 Gettys Street   Gettysburg, PA 17325",Wellspan Coronavirus Information Hotline,8558513641,COVID19Vaccine@Wellspan.org,Hospital,https://www.wellspan.org/covid19,,,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,,,Employee or state issued photo ID,none,Yes,-77.23439797,39.82438499
St. Luke's University Health Network,St. Luke's Miners Campus,"360 West Ruddle Street, Coaldale, PA 18218",St. Luke's InfoLink,866STLUKES option 7,infolink@sluhn.org,Hospital,,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.91413,40.82158
WellSpan Health,WellSpan Surgery and Rehabilitation Hospital,55 Monument Rd York PA 17403,WellSpan Coronavirus information Hotline,855-851-3641,covid19vaccine@wellspan.org,Hospital,https://www.wellspan.org/covid19,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,employee or state issued photo ID,,Yes,-76.71861529,39.9262154
St. Luke's University Health Network,St. Luke's Anderson Campus,"1872 St. Luke's Blvd, Easton, PA 18045",St. Luke's InfoLink,"866STLUKES, option 7",infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.28834952,40.64910295
Jefferson Health,Abington Hospital,"100 Medical Campus Dr, Lansdale, PA, 19446, USA",Katie Farrell,,covid.vaccine@jefferson.edu,Hospital,https://jefferson.co1.qualtrics.com/jfe/form/SV_eaFnRURFGL4npsx?utm_source=cv19banner,,,,,,,,,,,8:00 AM,3:00 PM,,,"Driver's license (or other government issued picture ID), work-related identification as evidence they are a healthcare worker",,No Vaccine Yet,-75.27089197,40.25065199
Wellspan Health,Wellspan Good Samaritan Hospital,"252 South 4th Street.  4th & Walnut Streets.  Lebanon, PA 17042",Wellspan Coronavirus Information Hotline,855-851-3641,COVID19Vaccine@Wellspan.org,Hospital,https://www.wellspan.org/covid19,,,6:00 AM,9:00 PM,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,employee or state issued photo ID,,Yes,-76.41665002,40.33582001
St. Luke's University Health Network,St. Luke's Monroe Campus,"100 St. Luke's Lane, Stroudsburg, PA 18360",St. Luke's InfoLink,"866STLUKES, option 7",infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.25983993,40.99857504
KidsPeace,KidsPeace Hospital,"5300 KidsPeace Drive, Orefield PA  18069","Matthew Koval, MD",6107998757,matthew.koval@kidspeace.org,Health System,,,,,,,,,,,,,,,,Staff badge or state issued ID,"We do not have times yet, since we do not know when we are receiving vaccine.  KidsPeace Hospital is part of a health system that includes Behavioral Health services for acute inpatient, residential, and community programs with over 1500 associates in PA.",No Vaccine Yet,-75.61355498,40.64946999
St. Luke's University Health Network,St. Luke's Lehighton,"211 North 12th Street, Lehighton, PA 18235",St. Luke's InfoLink,"866STLUKES, option 7",infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.72679297,40.83246859
St. Luke's University Health Network,St Luke's Sacred Heart Campus,"421 Chew Street, Allentown, PA 18102",St. Luke's InfoLink,"1-866-785-8537, option 7",info.link@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.46838998,40.60832
Tower Health- Reading Hospital,Reading Hospital,"420 South 5th Ave., West Reading PA, 19611",Keith Martin,,Rhincidentcommand@towerhealth.org,Hospital,https://www.mytowerhealth.org/mytowerhealth/Authentication/login?mode=stdfile&option=covidvacsched,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,"At the time of vaccination, you will be asked to provide verification of your status as a Tier 1-A individual, such as an employee badge or other supporting identification.",We are currently open for 1A and we will expand through the CMS tiers as vaccine is available.  Additional sites are being opened at the beginning of February.,Yes,-75.94912884,40.3301207
St. Luke's University Health Network,St. Luke's Upper Bucks Campus,"3000 St. Luke's Drive, Quakertown, PA 18951",St. Luke's InfoLink,"866STLUKES, option 7",infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,,Yes,-75.37526676,40.44312967
St. Luke's University Health Network,St. Luke's Easton Campus,"250 S. 21st Street, Easton, PA 18042",St. Luke's InfoLink,"866STLUKES, option 7",infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-75.24379504,40.68708998
St. Luke's University Health Network,Geisinger St. Luke's Hospital,"100 Paramount Blvd, Orwigsburg, PA 17961",St. Luke's InfoLink,"866STLUKES, option 7",infolink@sluhn.org,Hospital,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine,,,,,,,,,,,,,,,,Vaccination by appointment,Yes,-76.09131047,40.64118022
Wellspan Health,Wellspan Chambersburg Hospital,112 North 7th street Chamberbsurg PA 17201,WellSpan Coronavirus Information Hotline,855-851-3641,COVID19Vaccine@Wellspan.org,Hospital,https://www.wellspan.org/covid19,,,6:00 AM,9:00 PM,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,,,6:00 AM,9:00 PM,employee or state issued photo ID,None,Yes,-77.64637999,39.93373102
Primary Care Health Services,Alma Illery Medical Center,7227 Hamilton Avenue,"Dianna Nieder, DON",412-244-4754,dnieder@pchspitt.org,Federally Qualified Health Center (FQHC),,,,,,,,,,,,,,,,,,No Vaccine Yet,-79.89621297,40.45459099
"Primary Care Health Services, Inc.",West End Health Center,415 Neptune Street,"Dianna Nieder, RN",412-244-4754,dnieder@pchspitt.org,Federally Qualified Health Center (FQHC),,,,,,,,,,,,,,,,,,No Vaccine Yet,-80.03297596,40.44048802
B-K Health Center Inc. d/b/ NEPA Community Health Care,B-K Health Center Inc. d/b/ NEPA Community Health Care,"498 S Main Street, Suite D",Rebecca Dixon,5702787500,rdixon@nepachc.org,Federally Qualified Health Center (FQHC),nepachc.org,,,,,,,,,,,,,,,work ID,We are coordinating community vaccine distribution and do not have current distribution hours set,Yes,-75.87885001,41.83249
The Medicine Shoppe #0077,The Medicine Shoppe #0077,"1000 Market Street, Bloomsburg, PA 17815",Jennifer Seltzer,5707849582,jennifer@bloomsburgms.com,Pharmacy,https://www.bloomsburgms.com/covid-19-vaccination-information/,,,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,1:00 PM,"proof of professional licensure, pay stub, passport, or birth certificate",,No Vaccine Yet,-76.45256497,40.99380901
ACORX PHARMACY,ACORX PHARMACY,520 E MAIN ST,AMY KARLEK,4128572922,COVID@ACORXPHARMACY.COM,Pharmacy,,,,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,PHOTO ID AND INSURANCE CARD,,No Vaccine Yet,-80.080599,40.41096201
Excela Health,Westmoreland Regional Hospital,532 West Pittsburgh Street Greensburg PA 15601,Jeffrey Steinmetz,724 832 4244,covidvaccineqa@excelahealth.org,Hospital,,,,,,,,,,,,,,,,,,Yes,-79.55564099,40.30092502
WellSpan Health,WellSpan Pharmacy Fairfield,"4910 Fairfield Rd, Suite B, Fairfield, PA 17320",WellSpan Coronavirus Information Hotline,855-851-3641,COVID19Vaccine@Wellspan.org,Pharmacy,https://www.wellspan.org/covid19,,,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,,,employee or state issued photo ID,None,No Vaccine Yet,-77.37804401,39.78024002
WellSpan Health,WellSpan Pharmacy Apple Hill,"25 Monument Rd, Suite 265, York, PA 17403",WellSpan Coronavirus Information Hotline,8558513641,COVID19Vaccine@Wellspan.org,Pharmacy,https://www.wellspan.org/covid19,,,11:00 AM,4:00 PM,11:00 AM,4:00 PM,11:00 AM,4:00 PM,11:00 AM,4:00 PM,11:00 AM,4:00 PM,,,employee or state issued photo ID,None,No Vaccine Yet,-76.71704201,39.92521601
Excela Health,Frick Hospital,508 S Church Street Mt Pleasant Pa 15666,Michael Sekhon,724 832 4244,covidvaccineqa@excelahealth.org,Hospital,,,,,,,,,,,,,,,,,,Yes,-79.5481475,40.14607833
Excela Health,Latrobe Hospital Association,"One Mellon Way, Latrobe, PA, 15650, USA",Corey Madden,724 832 4244,covidvaccineqa@excelahealth.org,Hospital,,,,,,,,,,,,,,,,,,Yes,-79.39458398,40.320998
Kmart Pharmacy,Kmart Pharmacy #3266,"18 Mark Plaza, Kingston, PA 18704",Kmart Pharmacy Staff,5702889564,RX3266@transformco.com,Pharmacy,,10:00 AM,4:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,Photo ID,Patients with insurance should bring in their Prescription & Medical Card,No Vaccine Yet,-75.90750508,41.25517388
Kmart Pharmacy,Kmart Pharmacy #3810,2600 Willow St Pike N STE 101,Kmart Pharmacy Staff,7174644399,RX3810@transformco.com,Pharmacy,,10:00 AM,4:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,Photo ID,Patients with insurance should bring in their Prescription & Medical Card,No Vaccine Yet,-76.27962602,39.98272299
Suburban Community Hospital,Suburban Community Hospital,"2710 DeKalb Pike, East Norriton, PA 19401","Dave Schmidt, Chief Nursing Officer",,dschmidt2@primehealthcare.com,Hospital,,,,,,,,,,,,,,,,,,Yes,-75.31627201,40.14044602
Washington Health System,The Washington Hospital,"155 Wilson Ave, Washington, PA 15301","Teresa Babyak, Director of Operations WPG",,covidvaccine@whs.org,Hospital,,,,,,,,,,,,,,,,None,Unable to currently provide days/hours for appointments in fields above as it is variable week by week at this point,Yes,-80.24625399,40.18356001
Washington Health System,WHS-G,"350 Bonar Ave, Waynesburg, PA 15370","Teresa Babyak, Director of Operations WPG",,covidvaccine@whs.org,Hospital,,,,,,,,,,,,,,,,None,Unable to report discrete day/time values above due to variable scheduling based on demand,Yes,-80.17391581,39.90066894
Tyler Memorial Hospital,Tyler Memorial Hospital ,"5959 SR 6 Tunkhannock, PA 18657",Judith Ragukas,570-996-1169,judith_ragukas@chs.net,Hospital,,,,,,,,,,,,,,,,"Valid Photo ID, Valid Employee ID ",,Yes,-75.96913409,41.57601368
ChesPenn Health Services ,ChesPenn Health Services ,125 E 9th Street Chester Pa 19013,Ashlee Mathis ,610485-3800 ext 638,amathis@chespenn.org,Federally Qualified Health Center (FQHC),,,,,,,,,,,,,,,,Photo ID,By appts ,Yes,-75.35951903,39.85275299
"Wind Gap Community Pharmacy, Inc","Wind Gap Community Pharmacy, Inc",31 West 1st Street Wind Gap Pa 18091,Kathy Moyer,610-881-4260,windgaprx1@gmail.com,Pharmacy,call 610-881-4260,,,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,2:00 PM,documentation,,Yes,-75.29714199,40.84003901
The Medicine Shoppe Pharmacy,The Medicine Shoppe Pharmacy,"26 Dallas Shopping Center, Dallas, PA 18612",Beth Karwaski,570-674-5577,medicineshoppevaccinations@gmail.com,Pharmacy,,,,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,9:00 AM,1:00 PM,,,No Vaccine Yet,-75.95305921,41.33211305
UPMC,Altoona Station Medical Center,"1414 9th Ave, Altoona PA 16602",Doug Heusey,1-833-299-4358,,Other,https://www.upmc.com/healthcarevaccine,,,,,7:00 PM,12:00 PM,7:00 AM,12:00 PM,,,7:00 AM,12:00 PM,,,State or federal issued photo ID,Access for the vaccination entry is via  www.upmc.com/healthcarevaccine only,Yes,-78.4004219,40.51246108
UPMC,UPMC Bedford,"10455 Lincoln Highway, Everett PA, 15537",Doug Heusey,1-833-299-4358,,Hospital,https://www.upmc.com/healthcarevaccine,,,,,7:00 AM,12:00 PM,7:00 AM,12:00 PM,,,7:00 AM,12:00 PM,,,State or federal issued photo ID,Access for the vaccination entry is via  www.upmc.com/healthcarevaccine only,Yes,-78.42883518,40.02368856
Primary Health Network,Punxsutawney Community Health Center,"200 Prushnok Drive, Suite 202 Punxsutawney , PA 15767",Ashlee Montgomery,7246999211,amontgomery@primary-health.net,Federally Qualified Health Center (FQHC),https://primary-health.net/covid-vaccine-clinic.aspx,,,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,6:00 PM,8:00 AM,4:00 PM,,,None,,Yes,-78.96121,40.947232
Armstrong County Memorial Hospital,Armstrong Primary Care Center West Hills - RHC,"300 Medical Arts Building Ste 300 Kittanning, PA 16201",Gretchen Kutch,724-543-8204,Rigglej@acmh.org,Health System,,,,,,,,,,,,,,,,,,Yes,-79.56312092,40.80730882
